no,income
29306,0.9995373612584065
29307,0.8322130259269023
29308,0.27981412370906344
29309,0.38503195410419433
29310,0.06564449654150384
29311,0.9994994603264501
29312,0.9725670597310705
29313,0.8835197177561377
29314,0.9768379257331081
29315,0.9936205026429316
29316,0.4295875888195124
29317,0.9555795746184168
29318,0.5673368188928678
29319,0.982924911490926
29320,0.9097277227214582
29321,0.9685716534927876
29322,0.9601523858851336
29323,0.911388283577924
29324,0.9850701430091502
29325,0.9963293874349426
29326,0.8755418989076563
29327,0.40652030730401867
29328,0.8831133937679606
29329,0.7850437561573211
29330,0.6653849746792477
29331,0.6390218380747511
29332,0.9727985810523568
29333,0.9990000752859869
29334,0.5313218288399294
29335,0.7826179687653488
29336,0.9918764399183659
29337,0.9997543512122332
29338,0.3848898881401135
29339,0.997984022648389
29340,0.9968076508340927
29341,0.9651737208805333
29342,0.99328894877847
29343,0.7363327524089996
29344,0.9892490531815461
29345,0.9379759737257733
29346,0.5093589274310899
29347,0.6267888804427526
29348,0.6727739900687724
29349,0.9810242967462743
29350,0.99838408439288
29351,0.9969297179698154
29352,0.7396185210192086
29353,0.8799277120437689
29354,0.32392716042755954
29355,0.8965888662924774
29356,0.09456475995943092
29357,0.7233304363769543
29358,0.9917376611670929
29359,0.9994368537927101
29360,0.5231471040379431
29361,0.9457236990293817
29362,0.43386716367198674
29363,0.9550669995740417
29364,0.581306915562108
29365,0.18751971820412572
29366,0.6183905239248436
29367,0.7661623059446494
29368,0.7232906114673094
29369,0.9433719974048763
29370,0.5407297449072364
29371,0.7462838116574347
29372,0.6699307445289447
29373,0.4622493945534649
29374,0.8422986136477124
29375,0.5194271698855546
29376,0.957867598056785
29377,0.9885825376111809
29378,0.6982913252627
29379,0.21995571021961302
29380,0.20591564322499434
29381,0.9864988523469032
29382,0.5923037132683832
29383,0.8119013044723188
29384,0.8874821410299576
29385,0.9947634461032382
29386,0.9868744748146382
29387,0.99050016735404
29388,0.9970777262939564
29389,0.8572228777848242
29390,0.14058339184869229
29391,0.2164553516653177
29392,0.7925611992571797
29393,0.9784151011574324
29394,0.3963176933912047
29395,0.9989484486838629
29396,0.6187322582245559
29397,0.8323513482519129
29398,0.997369653495534
29399,0.8488916855966668
29400,0.9988095665282957
29401,0.9990802686365039
29402,0.9980999769953858
29403,0.9945315398961948
29404,0.99138972833425
29405,0.6841967445519653
29406,0.806344322526299
29407,0.9968341695049034
29408,0.9820101074433811
29409,0.9571263721676779
29410,0.9984595815048088
29411,0.6639662162010882
29412,0.9117275009192367
29413,0.687288529616144
29414,0.620882498109603
29415,0.9941120720995514
29416,0.3884611292543936
29417,0.9991449519462479
29418,0.9246887355043973
29419,0.529224405217098
29420,0.9739700917981367
29421,0.9473325159982308
29422,0.9033036694235165
29423,0.9969505093100526
29424,0.9657004313481052
29425,0.9949397620729881
29426,0.9471875834057792
29427,0.8675008268911691
29428,0.8772294506351279
29429,0.8240397327613831
29430,0.38775494700702284
29431,0.9952140526907854
29432,0.5273747804431255
29433,0.9945211108672909
29434,0.6270769844355799
29435,0.9061268150694505
29436,0.4614283509015533
29437,0.9724610934556911
29438,0.9682114660746906
29439,0.9993418391898661
29440,0.9887171128603747
29441,0.9740622759410987
29442,0.9956029220900242
29443,0.7197807071670691
29444,0.05366127316614622
29445,0.7555108291263856
29446,0.9132698194214464
29447,0.6270209428479745
29448,0.9975851130273224
29449,0.9987637389011016
29450,0.9704477153401799
29451,0.46421346892165616
29452,0.9821105030595191
29453,0.9705232532330682
29454,0.8802586752481489
29455,0.9990942442743461
29456,0.9632090631876421
29457,0.4575688763131508
29458,0.9236891459897831
29459,0.9993689962030485
29460,0.42375327316996714
29461,0.9676965359021529
29462,0.9165986773657151
29463,0.9802325574513738
29464,0.9991663986787306
29465,0.6508592806123795
29466,0.9986368303187075
29467,0.211250788314439
29468,0.9513536801179127
29469,0.34702131103527234
29470,0.9677931783445463
29471,0.9967948035873241
29472,0.6276159427930801
29473,0.6660101391426231
29474,0.9973073735795547
29475,0.967343278504111
29476,0.40524643499061697
29477,0.9695111953783684
29478,0.21801772006300035
29479,0.8248593254996234
29480,0.9514316323355302
29481,0.9925478252705489
29482,0.9632289391403132
29483,0.9705912513889123
